# L1 = 1, c = 0.5, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.45083e-07, 16, 2.74767e-09, 7.39449e-10, 2.36041e+07, 3.20201e+23, 1.26788e-06, 2.27417e-06
1.45083e-07, 17, 3.53071e-09, 5.67643e-12, 1.69113e+07, 4.08074e+23, 1.47921e-06, 2.55533e-06
1.45083e-07, 18, 4.47382e-09, 4.32536e-14, 1.23495e+07, 5.129e+23, 1.71124e-06, 3.34553e-06
1.45083e-07, 19, 5.58834e-09, 3.27398e-16, 9.17281e+06, 6.36733e+23, 1.96472e-06, 3.68832e-06
1.45083e-07, 20, 6.90616e-09, 2.46353e-18, 6.91803e+06, 7.81741e+23, 2.2404e-06, 4.73559e-06
1.45083e-07, 21, 8.43627e-09, 1.84391e-20, 5.28983e+06, 9.50211e+23, 2.53903e-06, 5.14172e-06
1.45083e-07, 22, 1.02187e-08, 1.37352e-22, 4.09565e+06, 1.14455e+24, 2.86132e-06, 6.49486e-06
1.45083e-07, 23, 1.22488e-08, 1.01872e-24, 3.20734e+06, 1.36727e+24, 3.208e-06, 6.96443e-06
1.45083e-07, 24, 1.45783e-08, 7.52632e-27, 2.53797e+06, 1.62102e+24, 3.57977e-06, 8.676e-06
1.45083e-07, 25, 1.72298e-08, 5.54237e-29, 2.02758e+06, 1.90855e+24, 3.97733e-06, 9.20741e-06
1.45083e-07, 26, 2.02229e-08, 4.07903e-31, 1.63416e+06, 2.23273e+24, 4.40136e-06, 1.13336e-05
1.45083e-07, 27, 2.35742e-08, 3.06061e-33, 1.32784e+06, 2.59656e+24, 4.85254e-06, 1.19236e-05
1.45083e-07, 28, 2.72992e-08, 2.69759e-35, 1.08712e+06, 3.00314e+24, 5.33154e-06, 1.45243e-05
