# L1 = 1, c = 1, a = 1, mu_eta = 1, mu_delta = 1.5, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.2045e-07, 83, 1.51566e-06, 8.5435e-141, 3323.03, 6.07814e+26, 9.17464e-05, 0.000460385
1.2045e-07, 84, 1.58388e-06, 1.67047e-142, 3111.2, 6.3764e+26, 9.46929e-05, 0.000496191
1.2045e-07, 85, 1.65592e-06, 3.26367e-144, 2915.14, 6.6855e+26, 9.76979e-05, 0.000497824
1.2045e-07, 86, 1.72815e-06, 6.37161e-146, 2733.52, 7.00571e+26, 0.000100762, 0.00053575
1.2045e-07, 87, 1.80347e-06, 1.24301e-147, 2565.12, 7.33729e+26, 0.000103885, 0.000537295
1.2045e-07, 88, 1.881e-06, 2.4232e-149, 2408.85, 7.68049e+26, 0.000107068, 0.000577407
1.2045e-07, 89, 1.96079e-06, 4.72062e-151, 2263.7, 8.0356e+26, 0.000110311, 0.000578853
1.2045e-07, 90, 2.04297e-06, 9.18993e-153, 2128.78, 8.40289e+26, 0.000113615, 0.000621217
1.2045e-07, 91, 2.1371e-06, 1.78786e-154, 2003.26, 8.78262e+26, 0.00011698, 0.000622555
1.2045e-07, 92, 2.21988e-06, 3.47595e-156, 1886.39, 9.17508e+26, 0.000120407, 0.000667238
1.2045e-07, 93, 2.30628e-06, 6.75356e-158, 1777.5, 9.58055e+26, 0.000123896, 0.000668455
1.2045e-07, 94, 2.40113e-06, 1.31136e-159, 1675.95, 9.99931e+26, 0.000127447, 0.000715525
1.2045e-07, 95, 2.49256e-06, 2.54473e-161, 1581.2, 1.04316e+27, 0.000131061, 0.00071661
1.2045e-07, 96, 2.58836e-06, 4.93517e-163, 1492.7, 1.08779e+27, 0.000134739, 0.000766133
1.2045e-07, 97, 2.68737e-06, 9.56548e-165, 1410.01, 1.13382e+27, 0.00013848, 0.000767075
1.2045e-07, 98, 2.78892e-06, 1.85294e-166, 1332.67, 1.18131e+27, 0.000142286, 0.000819118
1.2045e-07, 99, 2.89268e-06, 3.58732e-168, 1260.3, 1.23027e+27, 0.000146156, 0.000819906
1.2045e-07, 100, 3.00234e-06, 6.94126e-170, 1192.52, 1.28073e+27, 0.000150092, 0.000874535
1.2045e-07, 101, 3.10993e-06, 1.34236e-171, 1129.01, 1.33274e+27, 0.000154093, 0.000875158
1.2045e-07, 102, 3.22146e-06, 2.59461e-173, 1069.46, 1.38631e+27, 0.00015816, 0.000932441
1.2045e-07, 103, 3.33853e-06, 5.01241e-175, 1013.59, 1.44148e+27, 0.000162294, 0.000932887
1.2045e-07, 104, 3.45534e-06, 9.67831e-177, 961.133, 1.49828e+27, 0.000166494, 0.000992889
1.2045e-07, 105, 3.5817e-06, 1.86782e-178, 911.855, 1.55674e+27, 0.000170762, 0.000993147
1.45083e-07, 5, 2.12403e-11, 6.91737e+06, 1.41681e+10, 4.58051e+21, 7.27884e-08, 5.54715e-08
1.45083e-07, 6, 4.5649e-11, 3394.89, 5.19774e+09, 9.49815e+21, 1.12206e-07, 1.00265e-07
nan, nan, nan, nan, nan, nan, nan, nan
1.45083e-07, 8, 1.52431e-10, 0.000705508, 1.0682e+09, 3.00189e+22, 2.24945e-07, 2.34444e-07
1.45083e-07, 9, 2.49862e-10, 2.88734e-07, 5.58872e+08, 4.80844e+22, 3.0029e-07, 3.13233e-07
1.45083e-07, 10, 3.88176e-10, 1.20523e-10, 3.13074e+08, 7.32882e+22, 3.89572e-07, 4.6163e-07
1.45083e-07, 11, 5.78117e-10, 4.92877e-14, 1.85348e+08, 1.07301e+23, 4.93714e-07, 5.8101e-07
1.45083e-07, 12, 8.3129e-10, 1.98187e-17, 1.14855e+08, 1.5197e+23, 6.13613e-07, 8.11173e-07
1.45083e-07, 13, 1.16024e-09, 7.87578e-21, 7.39534e+07, 2.09318e+23, 7.50139e-07, 9.79639e-07
1.45083e-07, 14, 1.57995e-09, 3.5979e-24, 4.91975e+07, 2.81544e+23, 9.04142e-07, 1.31426e-06
1.45083e-07, 15, 2.10455e-09, 1.49014e-26, 3.36624e+07, 3.71022e+23, 1.07645e-06, 1.54008e-06
1.45083e-07, 16, 2.74767e-09, 3.53535e-28, 2.36041e+07, 4.80302e+23, 1.26788e-06, 2.00358e-06
1.45083e-07, 17, 3.53071e-09, 8.91464e-30, 1.69113e+07, 6.12111e+23, 1.47921e-06, 2.29476e-06
1.45083e-07, 18, 4.47382e-09, 2.21116e-31, 1.23495e+07, 7.6935e+23, 1.71124e-06, 2.91309e-06
1.45083e-07, 19, 5.58834e-09, 5.3982e-33, 9.17281e+06, 9.55099e+23, 1.96472e-06, 3.27733e-06
1.45083e-07, 20, 6.90616e-09, 1.29919e-34, 6.91803e+06, 1.17261e+24, 2.2404e-06, 4.07779e-06
1.45083e-07, 21, 8.43627e-09, 3.08656e-36, 5.28983e+06, 1.42532e+24, 2.53903e-06, 4.52247e-06
1.45083e-07, 22, 1.02187e-08, 7.24717e-38, 4.09565e+06, 1.71682e+24, 2.86132e-06, 5.53357e-06
1.45083e-07, 23, 1.22488e-08, 1.68343e-39, 3.20734e+06, 2.0509e+24, 3.208e-06, 6.06577e-06
1.45083e-07, 24, 1.45783e-08, 3.87206e-41, 2.53797e+06, 2.43153e+24, 3.57977e-06, 7.31704e-06
1.45083e-07, 25, 1.72298e-08, 8.82575e-43, 2.02758e+06, 2.86282e+24, 3.97733e-06, 7.94353e-06
1.45083e-07, 26, 2.02229e-08, 1.99491e-44, 1.63416e+06, 3.3491e+24, 4.40136e-06, 9.46544e-06
1.45083e-07, 27, 2.35742e-08, 4.47434e-46, 1.32784e+06, 3.89484e+24, 4.85254e-06, 1.01927e-05
1.45083e-07, 28, 2.72992e-08, 9.96334e-48, 1.08712e+06, 4.5047e+24, 5.33154e-06, 1.20165e-05
