# L1 = 1, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.001, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.45083e-07, 6, 1.64945e-13, 11634, 5.19773e+09, 6.3321e+21, 1.12205e-11, 2.7446e-12
1.45083e-07, 7, 3.11897e-13, 40.2266, 2.22642e+09, 1.1731e+22, 1.6258e-11, 3.86395e-12
1.45083e-07, 8, 5.42614e-13, 0.133461, 1.0682e+09, 2.00126e+22, 2.24943e-11, 5.22783e-12
1.45083e-07, 9, 8.80063e-13, 0.000428841, 5.58872e+08, 3.20563e+22, 3.00289e-11, 6.85774e-12
nan, nan, nan, nan, nan, nan, nan, nan
1.45083e-07, 11, 2.00526e-12, 3.95831e-09, 1.85347e+08, 7.15342e+22, 4.93714e-11, 1.10028e-11
1.45083e-07, 12, 2.8695e-12, 1.1829e-11, 1.14855e+08, 1.01314e+23, 6.13613e-11, 1.3555e-11
1.45083e-07, 13, 3.97412e-12, 3.48402e-14, 7.39533e+07, 1.39546e+23, 7.50139e-11, 1.64483e-11
1.45083e-07, 14, 5.37341e-12, 1.01336e-16, 4.91973e+07, 1.87696e+23, 9.04143e-11, 1.97017e-11
1.45083e-07, 15, 7.11709e-12, 2.91397e-19, 3.36623e+07, 2.47348e+23, 1.07645e-10, 2.33324e-11
1.45083e-07, 16, 9.25234e-12, 8.3117e-22, 2.3604e+07, 3.20201e+23, 1.26788e-10, 2.73573e-11
1.45083e-07, 17, 1.18015e-11, 2.42363e-24, 1.69113e+07, 4.08074e+23, 1.47921e-10, 3.17935e-11
1.45083e-07, 18, 1.48848e-11, 1.19305e-26, 1.23494e+07, 5.129e+23, 1.71124e-10, 3.66561e-11
1.45083e-07, 19, 1.8508e-11, 3.73615e-28, 9.17278e+06, 6.36733e+23, 1.96472e-10, 4.19612e-11
1.45083e-07, 20, 2.27214e-11, 2.3277e-29, 6.91801e+06, 7.81741e+23, 2.24041e-10, 4.77249e-11
1.45083e-07, 21, 2.76717e-11, 1.49902e-30, 5.28981e+06, 9.50211e+23, 2.53903e-10, 5.39617e-11
1.45083e-07, 22, 3.33141e-11, 9.56038e-32, 4.09563e+06, 1.14455e+24, 2.86133e-10, 6.06874e-11
1.45083e-07, 23, 3.96938e-11, 6.03304e-33, 3.20732e+06, 1.36727e+24, 3.20801e-10, 6.79164e-11
1.45083e-07, 24, 4.70497e-11, 3.76999e-34, 2.53796e+06, 1.62102e+24, 3.57977e-10, 7.56642e-11
1.45083e-07, 25, 5.53447e-11, 2.33467e-35, 2.02757e+06, 1.90855e+24, 3.97732e-10, 8.39441e-11
nan, nan, nan, nan, nan, nan, nan, nan
1.45083e-07, 27, 7.49809e-11, 8.7378e-38, 1.32784e+06, 2.59656e+24, 4.85253e-10, 1.02158e-10
1.45083e-07, 28, 8.65617e-11, 5.28687e-39, 1.08712e+06, 3.00314e+24, 5.33152e-10, 1.12122e-10
1.45083e-07, 29, 9.92052e-11, 3.17756e-40, 896308, 3.45569e+24, 5.83903e-10, 1.22673e-10
1.45083e-07, 30, 1.1337e-10, 1.89793e-41, 743839, 3.95756e+24, 6.37561e-10, 1.33825e-10
1.45083e-07, 31, 1.28837e-10, 1.12702e-42, 621093, 4.51221e+24, 6.94201e-10, 1.45594e-10
1.45083e-07, 32, 1.45698e-10, 6.65585e-44, 521580, 5.12322e+24, 7.53884e-10, 1.5799e-10
1.45083e-07, 33, 1.64364e-10, 3.91059e-45, 440372, 5.79427e+24, 8.16668e-10, 1.7103e-10
1.45083e-07, 34, 1.84467e-10, 2.28654e-46, 373690, 6.52918e+24, 8.82624e-10, 1.84722e-10
1.45083e-07, 35, 2.06254e-10, 1.33085e-47, 318619, 7.33188e+24, 9.51808e-10, 1.99083e-10
