# L1 = 1, c = 1, a = 1, mu_eta = 1.5, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.2045e-07, 43, 3.88711e-08, 1.27925e-54, 2.11358e+06, 2.91905e+25, 1.62881e-05, 6.17188e-05
1.2045e-07, 44, 4.27627e-08, 7.21124e-56, 1.86254e+06, 3.20021e+25, 1.72977e-05, 7.22734e-05
1.2045e-07, 45, 4.68723e-08, 4.0539e-57, 1.64599e+06, 3.5012e+25, 1.83454e-05, 7.21385e-05
1.2045e-07, 46, 5.13392e-08, 2.27298e-58, 1.45857e+06, 3.82295e+25, 1.94319e-05, 8.41195e-05
1.2045e-07, 47, 5.60291e-08, 1.27124e-59, 1.29586e+06, 4.16638e+25, 2.05578e-05, 8.37577e-05
1.2045e-07, 48, 6.10699e-08, 7.09269e-61, 1.15417e+06, 4.53244e+25, 2.17236e-05, 9.7286e-05
1.2045e-07, 49, 6.65188e-08, 3.94813e-62, 1.03043e+06, 4.92211e+25, 2.29298e-05, 9.6655e-05
1.2045e-07, 50, 7.21215e-08, 2.19284e-63, 922065, 5.33639e+25, 2.4177e-05, 0.000111856
1.2045e-07, 51, 7.81971e-08, 1.21534e-64, 826914, 5.77628e+25, 2.54657e-05, 0.00011091
1.2045e-07, 52, 8.4641e-08, 6.72196e-66, 743153, 6.24282e+25, 2.67965e-05, 0.000127914
1.2045e-07, 53, 9.15116e-08, 3.71054e-67, 669236, 6.73706e+25, 2.817e-05, 0.000126605
1.2045e-07, 54, 9.86578e-08, 2.04434e-68, 603853, 7.26009e+25, 2.95866e-05, 0.000145547
1.2045e-07, 55, 1.06336e-07, 1.12427e-69, 545886, 7.813e+25, 3.10469e-05, 0.000143822
1.2045e-07, 56, 1.14385e-07, 6.17195e-71, 494382, 8.39691e+25, 3.25514e-05, 0.00016484
1.2045e-07, 57, 1.2293e-07, 3.38246e-72, 448524, 9.01294e+25, 3.41007e-05, 0.000162646
1.2045e-07, 58, 1.32074e-07, 1.85067e-73, 407608, 9.66227e+25, 3.56953e-05, 0.000185882
1.2045e-07, 59, 1.41457e-07, 1.01095e-74, 371032, 1.03461e+26, 3.73356e-05, 0.000183161
1.2045e-07, 60, 1.51397e-07, 5.514e-76, 338271, 1.10655e+26, 3.90223e-05, 0.000208764
1.2045e-07, 61, 1.61833e-07, 3.003e-77, 308875, 1.18219e+26, 4.07558e-05, 0.000205455
1.2045e-07, 62, 1.7284e-07, 1.63312e-78, 282451, 1.26164e+26, 4.25366e-05, 0.000233575
1.2045e-07, 63, 1.84336e-07, 8.86901e-80, 258657, 1.34502e+26, 4.43652e-05, 0.000229614
1.2045e-07, 64, 1.96433e-07, 4.81e-81, 237196, 1.43248e+26, 4.62422e-05, 0.000260408
1.2045e-07, 65, 2.09049e-07, 2.60522e-82, 217808, 1.52413e+26, 4.81681e-05, 0.000255729
1.2045e-07, 66, 2.22202e-07, 1.40927e-83, 200265, 1.6201e+26, 5.01433e-05, 0.000289356
1.2045e-07, 67, 2.36002e-07, 7.61389e-85, 184368, 1.72055e+26, 5.21683e-05, 0.000283888
1.2045e-07, 68, 2.516e-07, 4.10865e-86, 169941, 1.82559e+26, 5.42437e-05, 0.000320512
1.2045e-07, 69, 2.65966e-07, 2.21456e-87, 156830, 1.93537e+26, 5.637e-05, 0.000314184
1.2045e-07, 70, 2.82815e-07, 1.1923e-88, 144897, 2.05003e+26, 5.85476e-05, 0.000353972
1.2045e-07, 71, 2.98846e-07, 6.41219e-90, 134022, 2.1697e+26, 6.0777e-05, 0.000346708
1.2045e-07, 72, 3.14934e-07, 3.4448e-91, 124099, 2.29455e+26, 6.30587e-05, 0.000389832
1.2045e-07, 73, 3.33061e-07, 1.84871e-92, 115033, 2.4247e+26, 6.53931e-05, 0.000381554
1.2045e-07, 74, 3.51379e-07, 9.91146e-94, 106739, 2.56032e+26, 6.77809e-05, 0.000428189
1.2045e-07, 75, 3.70581e-07, 5.30858e-95, 99142.9, 2.70155e+26, 7.02224e-05, 0.000418816
1.2045e-07, 76, 3.91022e-07, 2.84055e-96, 92177.3, 2.84853e+26, 7.27181e-05, 0.000469139
1.2045e-07, 77, 4.11828e-07, 1.51853e-97, 85782.7, 3.00144e+26, 7.52686e-05, 0.000458588
1.2045e-07, 78, 4.33476e-07, 8.1105e-99, 79905.8, 3.16043e+26, 7.78742e-05, 0.000512784
1.2045e-07, 79, 4.55913e-07, 4.328e-100, 74498.9, 3.32564e+26, 8.05355e-05, 0.000500966
1.2045e-07, 80, 4.7924e-07, 2.30756e-101, 69519.1, 3.49725e+26, 8.32529e-05, 0.000559222
1.2045e-07, 81, 5.03463e-07, 1.22928e-102, 64927.9, 3.67542e+26, 8.60268e-05, 0.000546049
1.2045e-07, 82, 5.28492e-07, 6.54324e-104, 60690.8, 3.86031e+26, 8.88579e-05, 0.000608553
1.2045e-07, 83, 5.54266e-07, 3.48005e-105, 56776.7, 4.05209e+26, 9.17464e-05, 0.000593933
1.2045e-07, 84, 5.8103e-07, 1.84943e-106, 53157.3, 4.25093e+26, 9.46929e-05, 0.00066088
1.2045e-07, 85, 6.09731e-07, 9.82109e-108, 49807.6, 4.457e+26, 9.76979e-05, 0.000644717
1.2045e-07, 86, 6.37956e-07, 5.21142e-109, 46704.4, 4.67047e+26, 0.000100762, 0.000716304
1.2045e-07, 87, 6.67591e-07, 2.76334e-110, 43827.2, 4.89152e+26, 0.000103885, 0.000698501
1.2045e-07, 88, 6.98181e-07, 1.46421e-111, 41157.1, 5.12033e+26, 0.000107068, 0.000774928
1.2045e-07, 89, 7.30471e-07, 7.753e-113, 38677.2, 5.35707e+26, 0.000110311, 0.000755384
1.2045e-07, 90, 7.62563e-07, 4.10242e-114, 36371.9, 5.60192e+26, 0.000113615, 0.000836855
