# L1 = 1.5, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.2045e-07, 6, 2.27251e-11, 1.68797e+09, 1.40866e+10, 1.10655e+22, 1.12206e-07, 1.071e-07
1.2045e-07, 7, 4.3588e-11, 5.83546e+06, 6.03389e+09, 2.05003e+22, 1.62581e-07, 1.55773e-07
1.2045e-07, 8, 7.63966e-11, 19369.7, 2.89496e+09, 3.49725e+22, 2.24945e-07, 2.56568e-07
1.2045e-07, 9, 1.25536e-10, 62.2663, 1.51462e+09, 5.60192e+22, 3.0029e-07, 3.37548e-07
1.2045e-07, 10, 1.9587e-10, 0.195051, 8.48471e+08, 8.53822e+22, 3.89572e-07, 5.15205e-07
1.2045e-07, 11, 2.91908e-10, 0.000598188, 5.02317e+08, 1.25008e+23, 4.93714e-07, 6.36173e-07
1.2045e-07, 12, 4.20673e-10, 1.72256e-06, 3.11272e+08, 1.77048e+23, 6.13613e-07, 9.21804e-07
1.2045e-07, 13, 5.8825e-10, 5.06862e-09, 2.00424e+08, 2.4386e+23, 7.50139e-07, 1.08901e-06
1.2045e-07, 14, 8.02725e-10, 1.47399e-11, 1.33332e+08, 3.28004e+23, 9.04142e-07, 1.51886e-06
1.2045e-07, 15, 1.07143e-09, 4.23879e-14, 9.12296e+07, 4.32247e+23, 1.07645e-06, 1.73692e-06
1.2045e-07, 16, 1.4017e-09, 1.2073e-16, 6.39702e+07, 5.59561e+23, 1.26788e-06, 2.35243e-06
1.2045e-07, 17, 1.80492e-09, 3.41012e-19, 4.5832e+07, 7.1312e+23, 1.47921e-06, 2.62407e-06
1.2045e-07, 18, 2.29149e-09, 9.60185e-22, 3.34687e+07, 8.96308e+23, 1.71124e-06, 3.47187e-06
1.2045e-07, 19, 2.86711e-09, 2.9563e-24, 2.48596e+07, 1.11271e+24, 1.96472e-06, 3.79772e-06
1.2045e-07, 20, 3.54973e-09, 2.66497e-26, 1.87488e+07, 1.36611e+24, 2.2404e-06, 4.9296e-06
1.2045e-07, 21, 4.34348e-09, 1.26468e-27, 1.43361e+07, 1.66052e+24, 2.53903e-06, 5.30799e-06
1.2045e-07, 22, 5.2671e-09, 7.9427e-29, 1.10998e+07, 2.00013e+24, 2.86132e-06, 6.78093e-06
1.2045e-07, 23, 6.32496e-09, 5.00887e-30, 8.69232e+06, 2.38934e+24, 3.208e-06, 7.20773e-06
1.2045e-07, 24, 7.53938e-09, 3.12991e-31, 6.87823e+06, 2.83278e+24, 3.57977e-06, 9.08382e-06
1.2045e-07, 25, 8.9237e-09, 1.93828e-32, 5.49501e+06, 3.33524e+24, 3.97733e-06, 9.55236e-06
1.2045e-07, 26, 1.04892e-08, 1.19037e-33, 4.42879e+06, 3.90176e+24, 4.40136e-06, 1.18988e-05
1.2045e-07, 27, 1.22461e-08, 7.25426e-35, 3.59864e+06, 4.53756e+24, 4.85254e-06, 1.23997e-05
1.2045e-07, 28, 1.42265e-08, 4.38924e-36, 2.94625e+06, 5.24807e+24, 5.33154e-06, 1.52888e-05
1.2045e-07, 29, 1.64234e-08, 2.63806e-37, 2.42913e+06, 6.03892e+24, 5.83901e-06, 1.581e-05
1.2045e-07, 30, 1.88456e-08, 1.57569e-38, 2.01592e+06, 6.91596e+24, 6.37562e-06, 1.93189e-05
1.2045e-07, 31, 2.15383e-08, 9.35667e-40, 1.68326e+06, 7.88522e+24, 6.94201e-06, 1.98454e-05
1.2045e-07, 32, 2.45179e-08, 5.52579e-41, 1.41356e+06, 8.95297e+24, 7.53882e-06, 2.40565e-05
1.2045e-07, 33, 2.77753e-08, 3.24663e-42, 1.19347e+06, 1.01257e+25, 8.16668e-06, 2.45706e-05
1.2045e-07, 34, 3.13765e-08, 1.89832e-43, 1.01276e+06, 1.14099e+25, 8.82622e-06, 2.95711e-05
1.2045e-07, 35, 3.53e-08, 1.10489e-44, 863507, 1.28127e+25, 9.51806e-06, 3.00518e-05
1.2045e-07, 36, 3.95227e-08, 6.4032e-46, 739565, 1.43409e+25, 1.02428e-05, 3.59339e-05
1.2045e-07, 37, 4.41619e-08, 3.69574e-47, 636108, 1.6002e+25, 1.10011e-05, 3.63576e-05
1.2045e-07, 38, 4.91825e-08, 2.12483e-48, 549327, 1.78033e+25, 1.17935e-05, 4.32181e-05
1.2045e-07, 39, 5.4634e-08, 1.21718e-49, 476195, 1.97527e+25, 1.26206e-05, 4.35581e-05
1.2045e-07, 40, 6.0539e-08, 6.94811e-51, 414296, 2.18578e+25, 1.34831e-05, 5.14988e-05
1.2045e-07, 41, 6.68586e-08, 3.9531e-52, 361684, 2.4127e+25, 1.43814e-05, 5.17252e-05
1.2045e-07, 42, 7.39652e-08, 2.242e-53, 316789, 2.65683e+25, 1.53162e-05, 6.08527e-05
1.2045e-07, 43, 8.0909e-08, 1.26772e-54, 278333, 2.91905e+25, 1.62881e-05, 6.09327e-05
1.2045e-07, 44, 8.86487e-08, 7.14764e-56, 245274, 3.20021e+25, 1.72977e-05, 7.13581e-05
1.2045e-07, 45, 9.70327e-08, 4.01889e-57, 216757, 3.5012e+25, 1.83454e-05, 7.12559e-05
1.2045e-07, 46, 1.05873e-07, 2.25375e-58, 192076, 3.82295e+25, 1.94319e-05, 8.30949e-05
1.2045e-07, 47, 1.15349e-07, 1.26069e-59, 170649, 4.16638e+25, 2.05578e-05, 8.27716e-05
1.2045e-07, 48, 1.25491e-07, 7.03501e-61, 151990, 4.53244e+25, 2.17236e-05, 9.61448e-05
1.2045e-07, 49, 1.36266e-07, 3.91663e-62, 135695, 4.92211e+25, 2.29298e-05, 9.55582e-05
1.2045e-07, 50, 1.4759e-07, 2.17568e-63, 121425, 5.33639e+25, 2.4177e-05, 0.00011059
1.2045e-07, 51, 1.59547e-07, 1.206e-64, 108895, 5.77628e+25, 2.54657e-05, 0.000109696
1.2045e-07, 52, 1.72319e-07, 6.67124e-66, 97864.2, 6.24282e+25, 2.67965e-05, 0.000126516
1.2045e-07, 53, 1.85802e-07, 3.68304e-67, 88130.2, 6.73706e+25, 2.817e-05, 0.000125265
1.2045e-07, 54, 1.99972e-07, 2.02945e-68, 79520.1, 7.26009e+25, 2.95866e-05, 0.000144008
1.2045e-07, 55, 2.14995e-07, 1.11622e-69, 71886.6, 7.813e+25, 3.10469e-05, 0.000142349
1.2045e-07, 56, 2.30895e-07, 6.12852e-71, 65104.1, 8.39691e+25, 3.25514e-05, 0.000163152
1.2045e-07, 57, 2.4833e-07, 3.35905e-72, 59065.1, 9.01294e+25, 3.41007e-05, 0.000161032
1.2045e-07, 58, 2.64871e-07, 1.83806e-73, 53677.1, 9.66227e+25, 3.56953e-05, 0.000184037
1.2045e-07, 59, 2.83176e-07, 1.00418e-74, 48860.4, 1.03461e+26, 3.73356e-05, 0.000181398
1.2045e-07, 60, 3.02933e-07, 5.47764e-76, 44546.3, 1.10655e+26, 3.90223e-05, 0.000206753
1.2045e-07, 61, 3.23978e-07, 2.9835e-77, 40675.2, 1.18219e+26, 4.07558e-05, 0.000203535
